name,prompt,negative_prompt
Realistic Face,"realistic face, photorealistic, symmetrical facial structure, anatomically correct face, beautiful face, delicate face, cute, young, mature face, 1girl, light smile, closed lips, parted lips, realistic lip texture, gloss lips, full cheeks, cheekbone definition, smooth cheeks, jawline, soft jaw shadow, defined nose, proportionate nostrils, nose bridge detail, sharp eyes, clean sclera, detailed iris, aligned eyes, beautiful eyes, long eyelashes, realistic eyebrows, balanced eyebrows, natural brow texture, visible pores, ultra-detailed facial texture, soft fine lines, natural skin shading, smooth skin, realistic skin tone, natural glow, medium hair, short bangs, floating hair, light on face, soft lighting, ambient lighting, symmetrical composition, ultra highres, high detail, cinematic lighting, RAW photo, 2k wallpaper, absurdres, masterpiece, best quality, extremely detailed, perfect lighting, CG style, unity render","NSFW, (worst quality:2), (low quality:2), (normal quality:2), (monochrome), (grayscale), (skin blemishes:1.331), (acne:1.331), (age spots:1.331), (ugly:1.331), (poorly drawn face:1.5), (bad anatomy:1.21), (distorted face:1.331), (disfigured:1.331), (low contrast), (underexposed), (overexposed), (amateur), (blurry), (bad proportions:1.331), (unclear eyes:1.331), (asymmetrical face:1.5), (deformed facial features:1.5), (mutated face), (cartoon), (stylized face), (artistic rendering), (extra facial parts:1.5), (non-human face), (oversaturated lighting), (wrong anatomy:1.5), (melted features), (warped proportions), (abstract style), EasyNegative, ng_deepnegative_v1_75t, DeepNegative, lowres, jpeg artifacts, signature, watermark, username, text overlay, cropped, paintings, sketches, bad anatomy, poorly drawn hands, mutated hands, deformed face, malformed limbs, fused fingers, extra fingers, fewer digits, missing fingers, missing limbs, extra limbs, extra arms, extra legs, long neck, cross-eyed, facing away, looking away, tilted head, error, gross proportions, bad body, bad lighting, harsh shadows, flat shading, pixelation, distorted features, unrealistic lighting, cartoon filter"
Realistic Portrait,"photorealistic, ultra realistic, photo-realistic, realistic skin texture, textured skin, dry skin, skin fuzz, skin detail, visible pores, fine lines, skin shading, dull skin noise, natural skin tone, color graded, remarkable color, RAW photo, RAW candid cinema, 16mm film, portra 400 film, ultra detailed, highly detailed, ultra highres, 8k, high resolution, cinematic lighting, cinematic camera, soft lighting, ambient light, natural tone, realistic light falloff, sharp focus, depth of field, subject in focus, waist-up, half-body, chest-level, balanced stance, symmetrical body, natural posture, anatomically correct, realistic proportions, torso, shoulders, arms, collarbone, lifelike hands, realistic finger joints, visible skin folds, soft arm shadows, realistic clothing, draped fabric, cloth folds, textile detail, neutral background, minimal background, bokeh, background blur, centered composition, studio-like setup, masterpiece, best quality, perfect lighting","NSFW, nude, naked, cleavage, areola, visible nipples, exposed breasts, suggestive pose, erotic pose, lingerie, underwear, sheer clothing, tight clothing, fetish theme, adult content, sexually provocative, body-centric lighting, softcore, hardcore, pornographic, dominant-submissive, erotic lighting, implied nudity, (worst quality:2), (low quality:2), (normal quality:2), lowres, blurry, jpeg artifacts, text overlay, watermark, signature, frame border, cropped, incomplete render, missing limbs, missing face, missing arms, cut-off hands, fused fingers:1.61051, extra fingers:1.61051, extra limbs:1.5, extra arms:1.5, distorted limbs:1.5, detached hands:1.5, malformed torso, twisted torso, asymmetrical shoulders, poorly drawn hands:1.5, poorly drawn arms, bad anatomy:1.5, gross proportions, bad proportions, disfigured body:1.5, mutated limbs, long neck, warped face, melted features, abstract deformations, AI artifacts, cartoon, sketch, illustration, painting style, stylized, anime style, digital art style, flat shading, posterization, overprocessed, overedited, unnatural colors, oversaturated skin, oversmooth skin:1.5, plastic texture:1.5, smudged details, harsh shadows, overexposed, underexposed, incorrect lighting, inconsistent shadowing, improper highlights, glow effects, lens flare, monochrome, grayscale, cross-eyed, looking away, facing away, tilted head, non-human anatomy, non-human features, non-human proportions, non-human skin, non-human face, non-human body, non-human limbs, non-human hands, non-human feet, non-human eyes, non-human ears, non-human nose, non-human mouth, non-human hair, non-human ears, non-human teeth, non-human tongue, non-human skin texture, non-human skin tone, non-human body hair, non-human facial hair, non-human eye color, non-human eye shape, non-human pupil shape, non-human iris shape, non-human eyelash shape, non-human eyebrow shape, non-human lip shape, non-human teeth shape, non-human tongue shape, non-human skin blemishes, non-human skin imperfections, non-human skin conditions, non-human skin diseases, non-human skin disorders, non-human skin irritations, non-human skin allergies, non-human skin reactions, non-human skin infections, non-human skin rashes, non-human skin lesions, non-human skin growths, non-human skin tags, non-human skin moles, non-human skin warts, non-human skin cysts, non-human skin tumors, non-human skin cancers, non-human skin polyps, non-human skin nodules, non-human skin blisters, non-human skin calluses, non-human skin corns, non-human skin abrasions, non-human skin cuts, non-human skin scrapes, non-human skin bruises, non-human skin welts, non-human skin hives, non-human skin rashes:1.5"
❌NSFW,,"NSFW, nude, nudity, naked, topless, bare chest, exposed chest, visible nipples, areola, exposed breasts, genitals, genitalia, pubic region, suggestive pose, erotic pose, sexually suggestive, sexually provocative, seductive, aroused expression, lip biting, open mouth with tongue, moaning face, sultry gaze, bedroom eyes, lustful look, inappropriate body focus, exaggerated hips, exaggerated breasts, cameltoe, exposed buttocks, bare bottom, straddling, spreading legs, bent over, crotch view, intimate angle, sexually charged lighting, glow on skin in sexual context, body-centric lighting , (seductive expression:1.5), (sexual activity:1.5), (pornographic content:1.5), (softcore:1.5), (hardcore:1.5), (fetish content:1.5), (dominatrix gear:1.5), (bondage gear:1.5), (NSFW accessories:1.5), (lingerie in sexual context:1.5), (transparent clothing:1.5), (implied nudity:1.5), (sheer fabric exposing body:1.5), (oversexualized character:1.5), (sex toy:1.5), (lewd context:1.5), (fetish theme:1.5), (suggestive outfit:1.5), underwear, lingerie, see-through fabric, tight clothing emphasizing anatomy, clothing designed to expose, adult content, adult theme, indecent exposure, sexually explicit context, explicit posture, inappropriate background elements , (e.g., beds, dim red lighting), objectification, NSFW framing, sexually themed props text overlay, watermark, logo, UI elements"
✔️NSFW,"NSFW, naked, nude, vagina, boobs, breast, bare breasts, visible nipples, large breasts, curvy, voluptuous, wide hips, soft thighs, slim waist, toned stomach, shapely legs, exposed shoulders, bare back, smooth skin, soft skin, detailed skin, realistic anatomy, feminine body, seductive, sensual, erotic, provocative, alluring, enticing, arousing, sultry, desirable, tempting, captivating, irresistible, attractive, enchanting, revealing, exposed, sleek, daring, sophisticated, figure-hugging, eye-catching, attention-grabbing, full lips, parted lips, flushed cheeks, seductive gaze, bedroom eyes, inviting expression, confident pose, open posture, sexually charged, erotic mood, soft glow, warm tone, dramatic shadows, intimate lighting, high detail, sharp focus, (masterpiece:2), best quality, ultra highres, extremely detailed, perfect lighting","clothed, covered, bra, shirt, dress, jacket, pants, shorts, swimsuit, lingerie (as clothing), bodysuit, armor, bikini, t-shirt, undershirt, towel, scarf, robe, cloak, corset, school uniform, office outfit, apron, gloves, boots, shoes, modest, safe_mode, sfw, no_nudity, pixelated, blurred, censorship bar, black bar, mosaic, covered nipples, covered breasts, covered genitals, hidden body, unnecessary censorship, low quality, worst quality, normal quality, (monochrome), (grayscale), cartoon, anime style, digital art style, stylized, abstract, simplified, lowres, deformed, cropped, poorly drawn, mutated, extra limbs, extra fingers, missing limbs, bad anatomy, bad proportions, flat shading, overprocessed, overedited, watermark, logo, frame, UI elements, text overlay"
Anime Style Countryside BG,"anime, countryside, rolling green hills, serene lake with ripples, rustic wooden farmhouse, cherry blossom trees in full bloom, distant mountain range with soft snowcaps, winding forest path with autumn leaves, small stone bridge over a clear river, dramatic sky gradients (pastel pinks and purples at sunset), soft diffused sunlight filtering through clouds, traditional Japanese-style houses with tiled roofs, cinematic composition with depth of field, vibrant yet muted color palette, intricate grass textures, subtle reflections on water, quiet and contemplative atmosphere, high-resolution 4K, detailed cloud formations, natural lighting with warm golden hour tones, layered landscape (foreground, midground, background), best quality, extremely detailed","low resolution, blurry, over-saturated colors, neon tones, cartoonish, unrealistic proportions, modern skyscrapers, industrial buildings, cars, people, animals, text, cluttered background, harsh shadows, unrealistic lighting, Ghibli style, low detail, flat shading, glitchy textures, over-complex patterns, abstract shapes, non-countryside elements"
Makoto Shinkai Style,"1girl, expressive eyes, soft facial features, flowing hair, elegant posture, refined anatomy, smooth skin texture, emotional depth, cinematic lighting, cinematic framing, naturalistic shadows, subtle color gradients, soft focus background, glowing neon signs, vibrant gradient skies, cherry blossoms in bloom, ethereal mist, hyper-detailed cityscape, intricate details, polished surfaces, fine fabric texture, atmospheric perspective, dynamic composition, beautiful light bloom, anime style, shinkai style, dreamy atmosphere, high detail, sharp focus on subject, soft ambient light, beautiful anime girl, delicate beauty, aesthetic harmony, artstation quality, (masterpiece:2), best quality, ultra highres, extremely detailed, perfect lighting, 8k, zcshinkai\, (\style\), <lora:zcShinkai:0.37>","low resolution, lowres, blurry, over-saturated colors, oversaturated colors, neon tones, cartoonish, cartoonish simplicity, unrealistic proportions, modern skyscrapers, industrial buildings, cars, people, animals, text, cluttered background, cluttered backgrounds, harsh shadows, unrealistic lighting, Ghibli style, low detail, flat shading, glitchy textures, over-complex patterns, abstract shapes, distorted anatomy, anatomical inaccuracies, exaggerated features, unrefined eyes, low detail textures, grainy noise, over-sharp edges, flat lighting, 3D render style, ugly, watermark, logo, signature, messy composition, pixelated, noise artifacts, jpeg artifacts, cropped, extra limbs, extra fingers, bad"
Ghibli Style,"studio ghibli style, anime, traditional animation look, hand-painted style, warm color palette, lush background, vibrant nature, highly detailed foliage, sweeping landscape, fantasy village, moss-covered stone, ancient architecture, floating islands, pastel sky, dynamic clouds, glowing sun, magical forest, old-fashioned buildings, whimsical setting, scenic view, dreamy light, cinematic composition, shallow depth of field, detailed environment, painterly textures, ambient haze, soft sunlight, subtle gradients, fairytale mood, emotional atmosphere, delicate linework, expressive eyes, soft face, rounded facial features, short nose, small mouth, youthful appearance, simple but charming clothes, fantasy outfit, clean shapes, soft shadows, high detail, masterpiece, ultra highres, best quality,<lora:ghibli_anime_v1:0.6>, <lora:ghibli_style_offset:0.65>, <lora:Pyramid lora_Ghibli_n3_0.7+Pyramid lora_Ghibli_v2_0.3:0.7>, <lora:Ghibli-v2:0.6>","(worst quality:2), (low quality:2), (normal quality:2), blurry, lowres, pixelated, jpeg artifacts, text, watermark, signature, cropped, poorly drawn, malformed limbs, mutated hands, extra limbs, extra arms, extra fingers, missing fingers, deformed, distorted anatomy, bad proportions, bad hands, AI artifact, disfigured face, asymmetrical eyes, broken limbs, inconsistent linework, flat shading, messy sketch lines, 3D style, photorealistic, realistic skin texture, harsh lighting, monochrome, grayscale, grainy noise, sketch, oil painting, comic style, extra characters, cluttered background, modern buildings, futuristic architecture, saturated color, sharp edges, unstyled backgrounds"
Anime Hands,"anime hands, detailed fingers, clean linework, correct finger count, refined hand anatomy, natural finger positioning, elegant hand pose, graceful hands, proportionate hands, smooth skin, delicate hand gesture, visible knuckles, defined nails, soft finger joints, hand detail focus, high detail, ultra highres, (masterpiece), (best quality), perfect anatomy","anime hands, detailed fingers, clean linework, correct finger count, refined hand anatomy, natural finger positioning, elegant hand pose, graceful hands, proportionate hands, smooth skin, delicate hand gesture, visible knuckles, defined nails, soft finger joints, hand detail focus, high detail, ultra highres, (masterpiece), (best quality), perfect anatomy,unrealistic hands, poorly drawn hands, mutated hands, deformed hands, extra fingers, fewer digits, missing fingers, missing limbs, extra limbs, extra arms, extra legs, long neck, cross-eyed, facing away, looking away, tilted head, error, gross proportions, bad body, bad lighting, harsh shadows, flat shading, pixelation, distorted features"
Realistic Hands,"realistic hands, detailed fingers, anatomically correct hands, natural hand pose, relaxed finger positioning, visible knuckles, skin folds, realistic finger joints, soft skin texture, accurate fingernails, high-resolution hand detail, well-proportioned hands, elegant hand posture, lifelike hand anatomy, proper bone structure, defined tendons, subtle lighting on hands, smooth shading, photorealistic, ultra highres, (masterpiece), (best quality)","poorly drawn hands, bad hands, mutated hands, deformed hands, fused fingers, extra fingers, missing fingers, fewer digits, broken fingers, malformed fingers, malformed hands, unrealistic hand anatomy, distorted hands, overlapping fingers, melted hands, warped hands, long fingers, short fingers, claw hands, twisted fingers, finger clipping, incorrect finger count, unnatural finger positioning, bad proportions, gross proportions, disfigured hands, dislocated joints, unrealistic bone structure, anatomical errors, hand artifact, blurry hands, low detail hands, smudged texture, noisy fingers, lowres hands, pixelated hands, compressed details, AI artifacts on hands, cropped hands, cut-off hands, partial hands, incomplete hands, artifacted joints"
AI Tweet,"((masterpiece),(Highest picture quality),(Master's work),(8K wallpaper),(ray tracing),Depth of field,finely detail,best quality, high resolution illustration,Cinematic Lighting),","EasyNegative, ng_deepnegative, (low_quality:1.4), (worst_quality:1.4), (badhand:1.1),collage, artist_name, signature, artist_logo, watermark,(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.331),(duplicate:1.331),(morbid:1.21),(tranny:1.331),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.331),extra limbs,(disfigured:1.331),(missing arms:1.331),(extra legs:1.331),(fused fingers:1.61051),(too many fingers:1.61051),(unclear eyes:1.331),lowers,bad hands,missing fingers,extra digit,bad  hands,missing fingers,(((extra arms and legs))),(EasyNegative:0.8),(badhand:0.8),nfsw,sketches, (worst quality:2), (low quality:2),lowres, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, ,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,"
